domain,flow,confirmed,evidence,login_url,final_url
0x.org,none,,ERR:hang,,
1inch.com,none,,ERR:hang,,
1inch.io,none,,ERR:hang,,
40acres.finance,none,,ERR:hang,,
aave.com,none,,ERR:hang,,
abacus.ch,none,,ERR:hang,,
acala.network,none,,ERR:hang,,
adi.com,none,,ERR:hang,,
adicontracts.com,none,,,https://adicontracts.com/login,https://adicontracts.com/wp-login.php
aelf.com,none,,,https://aelf.com/login,https://aelf.com/login
aera.finance,none,,,https://aera.finance/login,https://www.aera.finance/login
aevo.xyz,none,,,https://aevo.xyz/login,https://www.aevo.xyz/login
aex.com,none,,,https://aex.com/login,https://aex.com/lander
agglayer.dev,none,,,,
agilis.com,none,,,https://agilis.com/login,https://agilis.com/wp-login.php
akeles.com,none,,ERR:hang,,
alchemix.fi,none,,,https://alchemix.fi/login,https://alchemix.fi/login
alphasec.trade,none,,,https://alphasec.trade/login,https://alphasec.trade/login
alphix.com,none,,,https://alphix.com/login,https://alphix.com/login
alscotoday.com,none,,,https://alscotoday.com/login,https://alscotoday.com/auth/index.php?url=/login
altera.com,none,,,https://altera.com/login,https://www.altera.com/login
amd.com,none,,ERR:hang,,
amlbot.com,token,yes,initTokenClient,https://web.amlbot.com/signin?,
ammalgam.xyz,none,,,https://ammalgam.xyz/login,https://ammalgam.xyz/login
anduril.com,none,,ERR:hang,,
anome.com,none,,,https://anome.com/login,https://sawsells.com/domain/anome.com
ante.finance,none,,ERR:hang,,
aplaceformom.com,none,,ERR:hang,,
appliger.com,none,,ERR:hang,,
appsvio.com,none,,ERR:hang,,
aptos.dev,none,,,https://aptos.dev/login,https://aptos.dev/login
arbitrum.io,none,,ERR:hang,,
arcadia.finance,none,,ERR:hang,,
arkadiko.finance,none,,,https://arkadiko.finance/login,https://arkadiko.finance/login
arm.com,none,,ERR:hang,,
aspida.com,none,,,,
asterdex.com,none,,,https://asterdex.com/login,https://www.asterdex.com/en/login
astra.com,none,,,https://astra.com/login,https://astra.com/login
astros.ag,none,,,https://astros.ag/login,https://astros.ag/login
