domain,flow,confirmed,evidence,login_url,final_url
.com,none,,ERR:dns,,
.uk,none,,ERR:dns,,
0.91,none,,,,
03al1450.com,none,,ERR:dns,,
03mn1500.com,none,,ERR:dns,,
04ag1525.com,none,,ERR:dns,,
0510billing.com,none,,,,
05yo1560.com,none,,ERR:dns,,
09ek1225.com,none,,ERR:dns,,
100-pine.com,none,,,,
100.0,none,,,,
1000-premiers-jours.fr,none,,,https://1000-premiers-jours.fr/login,https://www.1000-premiers-jours.fr/fr
100congressbuilding.com,none,,,,
100topinnovators.com,none,,,,
100westputnameavenue.com,none,,,,
100williamstreetny.com,none,,,,
101eastkennedy.com,none,,,,
104.0,none,,,,
10bis.co.il,none,,,https://10bis.co.il/login,https://www.10bis.co.il/login
1101greenwood.com,none,,,,
114.79,none,,,,
1155perimetercenter.com,none,,,,
1155perimetercenterwest.com,none,,,,
116.183,none,,,,
116.185,none,,,,
116.187,none,,,,
116.189,none,,,,
11stanwix.com,none,,,,
12.234,none,,,,
120.0,none,,,,
123demo-domainz.biz,none,,,,
123demo-domainz.co.uk,none,,,https://123demo-domainz.co.uk/login,http://comingsoon.markmonitor.com/
123demo-domainz.net,none,,,,
123demo-domainz.org,none,,,https://123demo-domainz.org/login,https://123demo-domainz.org/login
123efgdemo-domainz.net,none,,ERR:dns,,
124mmdemodomains.info,none,,ERR:dns,,
125.224,none,,,,
128.194,none,,,,
128.195,none,,,,
130.2,none,,,,
131.237,none,,,,
1340treat.com,none,,,https://1340treat.com/login,https://1340treat.com/login
14.26,none,,,,
143.0,none,,,,
149.182,none,,,,
1500quail.com,none,,,,
1501mst.com,none,,,,
150northriversideplaza.com,none,,,,
1540bdwy.com,none,,,,
1550and1600tower.com,none,,,,
1550and1600towers.com,none,,,,
158.49,none,,,,
15sackvillestreet.com,none,,,,
161.173,none,,,,
1650archstreet.com,none,,,,
17.52,none,,,,
172.158,none,,,,
172.21,none,,,,
174.107,none,,,,
175.122,none,,,,
176.0,none,,,,
176.187,none,,,,
1790.com,none,,ERR:dns,,
1790.net,none,,ERR:dns,,
1790.org,none,,ERR:dns,,
180.0,none,,,,
1800bserve.com,none,,,,
183.242,none,,,,
196.0,none,,,,
198.100,none,,,,
1houstoncenter.com,none,,,,
1northbroadway.com,none,,,,
1password.com,none,,,https://start.1password.com/signin?l=en,https://start.1password.com/unsupported?page=%2Fsignin%3Fl%3Den
1st2file.com,none,,ERR:dns,,
1st2file.net,none,,ERR:dns,,
1stadvantage.org,none,,,https://1stadvantage.org/login,https://www.1stadvantage.org/wp-login.php
1stbankofcolorado.com,none,,,,
1stedit.com,none,,,,
1stsecuritybank.com,none,,,https://web9.secureinternetbank.com/PBI_PBI1151/Login/073901592,https://web9.secureinternetbank.com/PBI_PBI1151/Login/073901592
1w.cash,none,,,https://1w.cash/login,https://1wclak.com/login
1w.run,none,,,https://1w.run/login,https://1w.run/login
1win.com,none,,,https://1win.com/login,https://1win.com/login
2000aos.com,none,,,https://2000aos.com/login,https://2000aos.com/wp-login.php
2000aos.net,none,,,,
2000avenueofthestars.com,none,,,,
208.0,none,,,,
20min.ch,none,,,https://20min.ch/login,https://www.20min.ch/login
230.28,none,,,,
235pine.com,none,,,https://235pine.com/login,https://235pine.com/login
235pinest.com,none,,,,
23andme.org,none,,,https://you.23andme.com/,https://you.23andme.com/
23andmeresearchinstitute.org,none,,,https://you.23andme.com/,https://you.23andme.com/
244.0,none,,,,
247realmedia.fr,none,,ERR:dns,,
250cityroadlettings.com,none,,,,
28degreescard.com.au,none,,,https://servicecentre.latitudefinancial.com.au/login?migration=true&gemid2=lfs-web&gemid2=lfs-web%3Acards%3A28-degrees%3Alog-in-to-the-latitude-service-centre%3Aheader,https://servicecentre.latitudefinancial.com.au/login?migration=true&gemid2=lfs-web&gemid2=lfs-web%3Acards%3A28-degrees%3Alog-in-to-the-latitude-service-centre%3Aheader
2asc.com,none,,ERR:dns,,
2dehands.be,none,,,https://2dehands.be/login,https://www.2dehands.be/login
2ememain.be,none,,,https://2ememain.be/login,https://www.2ememain.be/login
2houstoncenter.com,none,,,,
32.16,none,,,,
32red.com,none,,,https://32red.com/login,https://www.32red.com/login
3501-jamboree.com,none,,,https://3501-jamboree.com/login,https://3501-jamboree.com/login
3501bayviewcorporatecenter.com,none,,,https://3501bayviewcorporatecenter.com/login,https://appcodr.com/login
356bank.com,none,,,https://356bank.com/login,https://www.356bank.com/login
360fcu.org,none,,,https://www.360fcu.org/lpl-account-view-login/,https://www.360fcu.org/lpl-account-view-login/
365sip.com,none,,,,
37signals.com,none,,,https://37signals.com/login,https://37signals.com/login
