domain,flow,confirmed,evidence,login_url,final_url
1215diamonds.com,none,,ERR:dns,,
3hs-burger-chicken-bottrop.de,none,,,https://3hs-burger-chicken-bottrop.de/login,https://www.3hs-burger-chicken-bottrop.de/
3net.com.br,none,,,https://3net.com.br/login,https://3net.com.br/wp-login.php
24eight.app,none,,,https://24eight.app/login,https://24eight.app/de/login
3believe.com,none,,,https://3believe.com/login,https://3believe.com/login
24haymarket.com,none,,,,
3iq.ca,none,,,https://3iq.ca/login,https://www.3iq.io/login
360nerds.com,none,,,https://360nerds.com/login,https://360nerds.com/login
1of1course.com,none,,ERR:dns,,
0100investbridge.com,none,,,https://app.0100investbridge.com/,https://app.0100investbridge.com/
13768815.com,none,,,https://13768815.com/login,https://www.13768815.com/login
1ststatebank4me.com,none,,,https://1ststatebank4me.com/login,https://1ststatebank4me.com/login
2srx.com,none,,,https://2srx.com/login,https://2srx.com/login
3ctel.com,none,,,https://service.3ctel.com/authentication/login,https://service.3ctel.com/authentication/login
1stip.com,none,,,https://1stip.com/login,https://1stip.com/404
247it.services,none,,,https://247it.services/login,https://247it.services/wp-login.php
1800thelaw2.com,none,,,https://1800thelaw2.com/login,https://www.1800thelaw2.com/login
1201apts.com,none,,,https://1201apts.com/login,https://1201apts.com/login
2lifeopus.org,none,,,https://2lifeopus.org/login,https://2lifeopus.org/login
2ton.com,none,,,https://2ton.com/login,https://2ton.com/login
1816kitchen.com,none,,,https://1816kitchen.com/login,https://www.1816kitchen.com/login
3c-online.co.uk,none,,,https://3c-online.co.uk/login,https://3c-online.co.uk/wp-login.php
365businesstribe.nl,none,,,https://365-academy.nl/,https://365-academy.nl/login
386rent.com,none,,,https://386rent.com/login,https://www.386rent.com/login
11teamsports.com,none,,,https://11teamsports.com/login,https://www.11teamsports.com/login
21amonth.org,none,,,https://21amonth.org/login,https://21amonth.org/login
3m.com.ro,none,,,https://3m.com.ro/login,https://www.3m.com.ro/login
1301bowen.com,none,,,https://1301bowen.com/login,https://1301bowen.com/login
1901society.com,none,,,https://1901society.com/login,https://1901society.com/login
2023vintagequality.com,none,,,https://2023vintagequality.com/login,https://www.2023vintagequality.com/login
2050partners.com,none,,,https://2050partners.com/login,https://www.westmonroe.com/industries/energy-utilities
29sud.notaires.fr,none,,,https://29sud.notaires.fr/login,https://29sud.notaires.fr/login
10xem.com,none,,,https://10xem.com/login,https://10xem.com/login
20min.ch,none,,,https://20min.ch/login,https://www.20min.ch/login
3bio.com.tw,none,,,https://3bio.com.tw/login,https://3bio.com.tw/login
1streetworks.fr,none,,ERR:dns,,
2x.marketing,none,,,https://2x.marketing/login,https://2x.marketing/wp-login.php
100percent.com,none,,,https://100percent.com/login,https://www.100percent.com/login
1875.co.uk,none,,,https://1875.co.uk/login,https://1875.co.uk/login
0smosis.com,none,,,https://0smosis.com/login,https://0smosis.com/wp-login.php
360staging.be,none,,,https://360staging.be/login,https://360staging.be/login
24sevres.com,none,,,https://24sevres.com/signin,https://24sevres.com/signin
2040digital.com,none,,,https://2040digital.com/login,https://www.2040digital.com/wp-login.php
