domain,flow,confirmed,evidence,login_url,final_url
5thscape.com,google_unknown,,gsi_only,https://5thscape.com/,
accounts.aanaab.com,none,,,https://accounts.aanaab.com/realms/master/protocol/openid-connect/auth,
alaan.com,none,,,https://www.alaan.com/,
altibbi.com,none,,,https://altibbi.com/member/auth,
app.bayzat.com,token,yes,initTokenClient,https://app.bayzat.com/auth/login,
app.haloai.app,google_unknown,,gsi_only,https://app.haloai.app/auth,
app.peaq.xyz,none,,,https://app.peaq.xyz/,
app.penny.co,code,,response_type=code,https://app.penny.co/en/auth/login,
app.qashio.com,jwt,yes,response_type=id_token,https://app.qashio.com/login,
app.skillfulai.io,none,,,https://app.skillfulai.io/login,
app.tryoto.com,code,,response_type=code,https://app.tryoto.com/login/en_US,
app.tryspeed.com,none,,,https://app.tryspeed.com/login/,
app.wafeq.com,code,,response_type=code,https://app.wafeq.com/c/account/login/,
app.zenhr.com,code,,response_type=code,https://app.zenhr.com/en/users/pre_login,
app.zestequity.com,code,,response_type=code,https://app.zestequity.com/sign-in,
auth.cercli.com,none,,,https://auth.cercli.com/u/login,
auth.fortis.world,none,,,https://auth.fortis.world/auth/sign-in,
auth.fuse.me,none,,,https://auth.fuse.me/u/login,
auth.tenderd.com,jwt,yes,gis_id:accounts.id.initialize,https://auth.tenderd.com/u/login/identifier,
auth.yougotagift.com,none,,,https://auth.yougotagift.com/en/login/,
botanika.ai,none,,,https://www.botanika.ai/,
brandsforless.com,token,yes,initTokenClient,https://www.brandsforless.com/en-ae/authorization/,
buyer.trymala.com,token,yes,initTokenClient,https://buyer.trymala.com/auth/login,
cointel.io,code,,response_type=code,https://www.cointel.io/en/login,
cp-moment-prd.us.auth0.com,none,,,https://cp-moment-prd.us.auth0.com/u/login/identifier,
dashboard.mamopay.com,token,yes,response_type=token,https://dashboard.mamopay.com/auth/sign-in,
dashboard.zid.sa,token,yes,response_type=token,https://dashboard.zid.sa/ar-sa/login,
entravel.com,jwt,yes,response_type=id_token,https://entravel.com/auth/sign-in,
eyewa.com,none,,,https://eyewa.com/ae-en,
feelvaleo.com,token,yes,initTokenClient,https://feelvaleo.com/en-ae/login,
games.gg,none,,,https://games.gg/,
getdaleel.com,none,,,https://www.getdaleel.com/auth/login,
keepface.com,jwt,yes,gis_id:accounts.google.com/gsi/bu,https://keepface.com/login,
lokalee.app,token,yes,initTokenClient,https://lokalee.app/auth,
lorum.com,none,,,https://www.lorum.com/,
lyvely.com,google_unknown,,gsi_only,https://lyvely.com/login,
m5azn.com,code,,response_type=code,https://m5azn.com/login,
momentco.net,none,,,https://momentco.net/,
mumzworld.com,code,,response_type=code,https://www.mumzworld.com/en/sign-in,
myco.io,none,,,https://myco.io/,
osnplus.com,jwt,yes,response_type=id_token,https://osnplus.com/en-ae/login,
playgama.com,jwt,yes,gis_id:accounts.id.initialize,https://playgama.com/,
portal.signit.sa,code,,response_type=code,https://portal.signit.sa/en/login,
propertyfinder.ae,jwt,yes,gis_id:accounts.id.initialize,https://www.propertyfinder.ae/,
revibe.me,google_unknown,,gsi_only,https://revibe.me/pages/my-account,
saco.sa,none,,,https://www.saco.sa/,
sakan.co,code,,response_type=code,https://sakan.co/ar/login,
samawaterco.com,google_unknown,,ERR:Page.goto: net::ERR_HTTP2_INAD,https://samawaterco.com/ar,
sc-prod.eu.auth0.com,none,,,https://sc-prod.eu.auth0.com/login,
seller.trymala.com,token,yes,initTokenClient,https://seller.trymala.com/auth/signup,
snoonu.com,google_unknown,,gsi_only,https://snoonu.com/,
soum.sa,jwt,yes,response_type=id_token,https://soum.sa/login,
sso.predictivdata.com,none,,,https://sso.predictivdata.com/realms/app-realm/protocol/openid-connect/auth,
starzplay.com,jwt,yes,response_type=id_token,https://starzplay.com/en/signup,
stayqstay.com,token,yes,initTokenClient,https://stayqstay.com/,
theluxurycloset.com,none,,,https://theluxurycloset.com/,
traveloka.com,jwt,yes,gis_id:accounts.id.initialize,https://www.traveloka.com/en-en,
udora.com,none,,,https://udora.com/,
vuz.com,token,yes,initTokenClient,https://www.vuz.com/authenticate,
