domain,category,confirmed,evidence,login_url,final_url
account.xiaomi.com,none,,,https://account.xiaomi.com/fe/service/login/password,
app.dataminr.com,jwt,yes,gis_id:accounts.google.com/gsi/bu,https://app.dataminr.com/login,
app.deel.com,token,yes,response_type=token,https://app.deel.com/login,
app.harness.io,none,,,https://app.harness.io/auth/,
app.mpowerfinancing.com,code,,response_type=code,https://app.mpowerfinancing.com/login,
app.pendo.io,code,,response_type=code,https://app.pendo.io/login,
app.producepay.com,code,,response_type=code,https://app.producepay.com/account/login/,
app.rippling.com,code,,response_type=code,https://app.rippling.com/sign-in/id,
auth.decagon.ai,code,,response_type=code,https://auth.decagon.ai/,
auth.exa.ai,none,,,https://auth.exa.ai/,
auth.warbyparker.com,none,,,https://auth.warbyparker.com/u/login/identifier,
authentication.taboola.com,google_unknown,,gsi_only,https://authentication.taboola.com/authentication/login,
better.com,code,,response_type=code,https://better.com/account/sign-in,
borrower.crebrid.com,code,,response_type=code,https://borrower.crebrid.com/sign-in,
console.chainguard.dev,code,,response_type=code,https://console.chainguard.dev/auth/login,
console.coreweave.com,code,,response_type=code,https://console.coreweave.com/login,
console.crusoecloud.com,code,,response_type=code,https://console.crusoecloud.com/,
console.gmicloud.ai,none,,,https://console.gmicloud.ai/auth/sign-in,
dashboard.backflip.com,jwt,yes,response_type=id_token,https://dashboard.backflip.com/auth/login,
events.ringcentral.com,none,,,https://events.ringcentral.com/sign_in,
exchange.gemini.com,code,,response_type=code,https://exchange.gemini.com/signin,
fal.ai,code,,response_type=code,https://fal.ai/login,
gopro.com,code,,response_type=code,https://gopro.com/login,
hq1.appsflyer.com,token,yes,initTokenClient,https://hq1.appsflyer.com/auth/login,
identity.wowway.com,code,,response_type=code,https://identity.wowway.com/digital-identity/login,
login.constantcontact.com,none,,,https://login.constantcontact.com/login/login.sdo,
login.growtherapy.com,code,,response_type=code,https://login.growtherapy.com/login,
login.ringcentral.com,none,,,https://login.ringcentral.com/sw.html,
login.rokt.com,none,,,https://login.rokt.com/u/login/identifier,
login.veeam.com,none,,,https://login.veeam.com/realms/veeamsso/protocol/openid-connect/auth,
manage.cribl.cloud,code,,response_type=code,https://manage.cribl.cloud/login/identifier,
portal.horizon3ai.com,code,,response_type=code,https://portal.horizon3ai.com/,
provider.forus.com,code,,response_type=code,https://provider.forus.com/login,
ridealso.com,code,,response_type=code,https://ridealso.com/account/login,
riteaid.com,code,,response_type=code,https://riteaid.com/patient/login,
suno.com,jwt,yes,gis_id:accounts.id.initialize,https://suno.com/,
try.ema.ai,code,,response_type=code,https://try.ema.ai/signup/ex-app,
www.amh.com,none,,,https://www.amh.com/,
www.buzzfeed.com,jwt,yes,gis_id:g_id_onload,https://www.buzzfeed.com/,
www.chobani.com,token,yes,initTokenClient,https://www.chobani.com/login,
www.faire.com,none,,,https://www.faire.com/?signIn=1,
www.hellolanding.com,none,,,https://www.hellolanding.com/,
www.madison-reed.com,none,,,https://www.madison-reed.com/,
www.pacaso.com,token,yes,initTokenClient,https://www.pacaso.com/contact,
www.sharkninja.com,code,,response_type=code,https://www.sharkninja.com/login,
