domain,flow,confirmed,evidence,login_url,final_url
baaniai.com,none,,unreachable,,
asgardeo.io,none,,,https://asgardeo.io/login,https://asgardeo.io/login
artie.com,none,,,https://artie.com/login,https://artie.com/login
better-auth.com,none,,,https://better-auth.com/login,https://better-auth.com/login
askclara.com,google_unknown,,gsi_only,https://askclara.com/login,https://askclara.com/login
blazel.com,none,,,https://blazel.com/login,https://blazel.com/login
astratarot.net,none,,,https://astratarot.net/login,https://astratarot.net/login
arbio.com,none,,,https://arbio.com/login,https://arbio.com/login
bland.ai,none,,,https://bland.ai/login,https://www.bland.ai/login
bebelong.life,none,,,https://bebelong.life/login,https://bebelong.life/login
ai.exchange,none,,,https://ai.exchange/login,https://ai.exchange/login
askcerto.com,none,,,https://askcerto.com/login,https://www.askcerto.com/login
billables.ai,none,,,https://billables.ai/login,https://billables.ai/login
agentmail.to,none,,,https://agentmail.to/login,https://www.agentmail.to/login
adapt.com,none,,,https://adapt.com/login,https://app.adapt.com/login
ancher.ai,none,,,https://ancher.ai/login,https://ancher.ai/login
braintrust.dev,none,,,https://braintrust.dev/login,https://www.braintrust.dev/login
bwavai.com,google_unknown,,gsi_only,https://bwavai.com/login,https://bwavai.com/login
19pine.ai,none,,,https://19pine.ai/login,https://www.19pine.ai/login
browserbase.com,none,,,https://browserbase.com/login,https://www.browserbase.com/sign-in?redirect=https%3A%2F%2Fwww.browserbase.com%2Flogin
arena.ai,none,,,https://arena.ai/login,https://arena.ai/login
behuman.health,none,,,https://behuman.health/login,https://www.behuman.health/login
blockearner.com.au,none,,,https://blockearner.com.au/login,https://blockearner.com.au/login/
adaptionlabs.ai,none,,,https://adaptionlabs.ai/login,https://adaptionlabs.ai/login
altahq.com,none,,,https://altahq.com/login,https://www.altahq.com/login
codeplain.ai,none,,,https://codeplain.ai/login,https://www.codeplain.ai/login
callin.io,none,,,https://callin.io/login,https://callin.io/login
codistry.ai,none,,,https://codistry.ai/login,https://codistry.ai/login
bobyard.com,none,,,https://bobyard.com/login,https://bobyard.com/login
bronto.io,none,,,https://bronto.io/login,https://bronto.io/login
capimoney.com,none,,,https://capimoney.com/login,https://capimoney.com/login
buildfactory.io,none,,,https://buildfactory.io/login,https://buildfactory.io/login
comfy.org,none,,,https://comfy.org/login,https://cloud.comfy.org/cloud/login
cloudx.ai,none,,,https://cloudx.ai/login,https://www.cloudx.ai/login
cbdia.eu,none,,,https://cbdia.eu/login,https://cbdia.eu/login
cassidyai.com,none,,,https://cassidyai.com/login,https://www.cassidyai.com/login
clarifeye.ai,none,,,https://clarifeye.ai/login,https://www.clarifeye.ai/login
chipagents.ai,none,,,https://chipagents.ai/login,https://chipagents.ai/login
centari.com,none,,,https://centari.com/login,https://www.centari.com/login
concentrate.ai,google_unknown,,gsi_only,https://concentrate.ai/login,https://concentrate.ai/auth/login
cookiy.ai,google_unknown,,gsi_only,https://cookiy.ai/login,https://cookiy.ai/login/
discern.com,none,,,https://discern.com/login,https://www.discern.com/login
dreadnode.io,none,,,https://dreadnode.io/login,https://dreadnode.io/login
clinware.com,none,,,https://clinware.com/login,https://clinware.com/login
cleat.ai,none,,,https://cleat.ai/login,https://www.cleat.ai/login
credyt.ai,none,,,https://credyt.ai/login,https://credyt.ai/login
clazar.io,none,,,https://clazar.io/login,https://clazar.io/login
coval.dev,none,,,https://coval.dev/login,https://www.coval.ai/login
composio.dev,none,,,https://composio.dev/login,https://composio.dev/login
counselhealth.com,none,,,https://counselhealth.com/login,https://www.counselhealth.com/login
concourse.co,none,,,https://concourse.co/login,https://www.concourse.ai/login
dedaluslabs.ai,none,,,https://dedaluslabs.ai/login,https://www.dedaluslabs.ai/login
corgi.insure,none,,,https://corgi.insure/login,https://www.corgi.insure/login
dialogueai.com,google_unknown,,gsi_only,https://dialogueai.com/login,https://dialogueai.com/login
depthfirst.com,none,,,https://depthfirst.com/login,https://depthfirst.com/login
finny.com,none,,,https://finny.com/login,https://finny.com/login
drafted.ai,none,,,https://drafted.ai/login,https://www.drafted.ai/login
eq8.ai,none,,,https://eq8.ai/login,https://eq8.ai/login
fomo.family,none,,,https://fomo.family/login,https://fomo.family/login
fearn.ai,none,,,https://fearn.ai/login,https://fearn.ai/login
eaglemountain.ai,none,,,https://eaglemountain.ai/login,https://eaglemountain.ai/login
domesystems.ai,none,,,https://domesystems.ai/login,https://www.domesystems.ai/login
flower.ai,none,,,https://flower.ai/login,https://flower.ai/login
ewor.com,none,,,https://ewor.com/login,https://www.ewor.com/login
gitbutler.com,none,,,https://gitbutler.com/login,https://gitbutler.com/login
engrate.io,none,,,https://engrate.io/login,https://engrate.io/wp/wp-login.php
emergent.sh,google_unknown,,gsi_only,https://emergent.sh/login,https://emergent.sh/login
echoiottek.com,google_unknown,,gsi_only,https://echoiottek.com/login,https://echoiottek.com/login
flora.ai,none,,,https://flora.ai/login,https://flora.ai/login
genspark.ai,none,,,https://genspark.ai/login,https://www.genspark.ai/login
gc.ai,none,,,https://gc.ai/login,https://gc.ai/login
fikajobs.ai,none,,,https://fikajobs.ai/login,https://fikajobs.ai/login
doctronic.ai,none,,,https://doctronic.ai/login,https://www.doctronic.ai/login/
e2b.dev,none,,,https://e2b.dev/login,https://console.e2b.dev/login?flow=d5235d68-cdda-4a18-9356-12df011efe90
general.legal,none,,,https://general.legal/login,https://general.legal/login
generalcompute.com,none,,,https://generalcompute.com/login,https://www.generalcompute.com/login
getbluejay.ai,none,,,https://app.getbluejay.ai/login,https://app.getbluejay.ai/login
gaif.ai,none,,,https://gaif.ai/login,https://www.gaif.ai/login
getmarlee.com,none,,,https://getmarlee.com/login,https://getmarlee.com/login
genstore.ai,google_unknown,,gsi_only,https://genstore.ai/login,https://www.genstore.ai/login
hud.ai,none,,,https://hud.ai/login,https://hud.ai/login
getclera.com,none,,,https://getclera.com/login,https://www.getclera.com/login
getlilac.com,none,,,https://getlilac.com/login,https://getlilac.com/login
groundtech.co,none,,,https://groundtech.co/login,https://www.groundtech.co/login
goldenanalytics.com,none,,,https://goldenanalytics.com/login,https://goldenanalytics.com/login
harmonic.fun,none,,,https://harmonic.fun/login,https://www.harmonic.fun/login
hermeshealth.ai,none,,,https://hermeshealth.ai/login,https://hermeshealth.ai/login
klerixlabs.com,none,,,https://klerixlabs.com/login,https://www.klerixlabs.com/login
everlab.com.au,none,,,https://everlab.com.au/login,https://www.everlab.com.au/login
day.ai,none,,,https://day.ai/login,https://day.ai/login
greatlyhealth.com,none,,,https://greatlyhealth.com/login,https://greatlyhealth.com/login
livid.com,none,,,https://livid.com/login,https://livid.com/login
lawvora.com,none,,,https://lawvora.com/login,https://lawvora.com/login
guild.ai,none,,,https://guild.ai/login,https://www.guild.ai/login
leonardo.ai,none,,,https://leonardo.ai/login,https://leonardo.ai/login
govwell.com,none,,,https://govwell.com/login,https://govwell.com/login
heyflow.com,none,,,https://heyflow.com/login,https://heyflow.com/login
grinds360.ie,none,,,https://grinds360.ie/login,https://grinds360.ie/wp-login.php
hydradb.com,none,,,https://hydradb.com/login,https://hydradb.com/login
kadoink.ai,none,,,https://kadoink.ai/login,https://www.kadoink.com/login
getsphere.com,none,,,https://getsphere.com/login,https://www.getsphere.com/login
heyboss.ai,none,,,https://heyboss.ai/login,https://heyboss.ai/login
interpayments.com,none,,,https://interpayments.com/login,https://www.interpayments.com/wp-login.php
laurence.com,none,,,https://laurence.com/login,https://www.laurence.com/login
li.fi,none,,,https://li.fi/login,https://li.fi/login
listenlabs.ai,none,,,https://listenlabs.ai/login,https://listenlabs.ai/login
lyceum.technology,none,,,https://lyceum.technology/login,https://lyceum.technology/login
icon.com,none,,,https://icon.com/login,https://icon.com/login
joinflo.com,none,,,https://joinflo.com/login,https://www.joinflo.com/login
lightbringer.com,none,,,https://lightbringer.com/login,https://lightbringer.com/login
maiaedge.io,none,,,https://maiaedge.io/login,https://maiaedge.io/login
manufact.com,none,,,https://manufact.com/login,https://manufact.com/login
luckybevco.com,none,,,https://luckybevco.com/login,https://luckybevco.com/login
magicpatterns.com,none,,,https://magicpatterns.com/login,https://www.magicpatterns.com/login
hilberts.ai,none,,,https://hilberts.ai/login,https://hilberts.ai/login
mecagent.com,none,,,https://mecagent.com/login,https://mecagent.com/login
luel.ai,none,,,https://luel.ai/login,https://www.luel.ai/vpn-blocked?from=%2Flogin&reason=datacenter
habittrade.com,none,,,https://habittrade.com/login,https://www.habittrade.com/login
miniswap.gg,none,,,https://miniswap.gg/login,https://miniswap.gg/login
keycard.ai,none,,,https://keycard.ai/login,https://www.keycard.ai/login/
nightshift-agi.com,none,,,https://nightshift-agi.com/login,https://nightshift-agi.com/login
marble.ai,none,,,https://marble.ai/login,https://marble.ai/login
mavenagi.com,none,,,https://mavenagi.com/login,https://www.mavenagi.com/login
mito.ai,google_unknown,,gsi_only,https://mito.ai/login,https://mito.ai/login
mercor.com,none,,,https://mercor.com/login,https://www.mercor.com:443/login/
lovart.ai,google_unknown,,gsi_only,https://lovart.ai/login,https://www.lovart.ai/login
lyrebirdhealth.com,none,,,https://lyrebirdhealth.com/login,https://www.lyrebirdhealth.com/au/login
mem0.ai,none,,,https://mem0.ai/login,https://mem0.ai/login
minitap.ai,none,,,https://minitap.ai/login,https://www.minitap.ai/login
natural.com,none,,,https://natural.com/login,https://www.natural.com/login
maxima.ai,none,,,https://maxima.ai/login,https://www.maxima.ai/login
packz.io,none,,,https://packz.io/login,https://packz.io/login
modelence.com,none,,,https://modelence.com/login,https://modelence.com/login
myqbiz.ai,none,,,https://myqbiz.ai/login,https://myqbiz.ai/login
newdle.com,none,,,https://newdle.com/login,https://newdle.com/login
