domain,flow,confirmed,evidence,login_url,final_url
19pine.ai,google_unknown,,gsi_only,https://19pine.ai/login,https://www.19pine.ai/login
adapt.com,none,,,https://app.adapt.com/login,https://app.adapt.com/login
adaptionlabs.ai,none,,,https://adaptionlabs.ai/login,https://adaptionlabs.ai/login
agentmail.to,none,,,https://console.agentmail.to,https://console.agentmail.to/sign-up
ai.exchange,none,,,https://ai.exchange/login,https://ai.exchange/login
altahq.com,code,,response_type=code,https://auth.altahq.com/u/login/identifier?state=hKFo2SBIZmlEWUlWS2VocXpqTmh0MEdwUFJvZFBfNDlDb1k0MKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIGpBZmNiOU9WX0xPSm5XR3RvRzBoX3NSVzlwOGIwbmNno2NpZNkgWnNPVWw1OEs1a3pjaldHTUhoUmVpWGtFZXpITjdDTk0,https://auth.altahq.com/u/login/identifier?state=hKFo2SBJWEhrb09oWm5jZTJyc0xVdzJoZXpYSjZDNFVkUkdCcKFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIFg5WGxobXZJMXpoTWxtR1VYZjY2VXpWN21TLTAxaWU4o2NpZNkgWnNPVWw1OEs1a3pjaldHTUhoUmVpWGtFZXpITjdDTk0
ancher.ai,none,,,https://app.ancher.ai,https://app.ancher.ai/login?redirect=%2Fnotes
arbio.com,jwt,yes,response_type=id_token,https://portal.arbio.com/login,https://portal.arbio.com/login
arena.ai,none,,,https://arena.ai/login,https://arena.ai/login
artie.com,none,,,https://artie.com/signin,https://artie.com/signin
asgardeo.io,google_unknown,,gsi_only,https://asgardeo.io/login,https://asgardeo.io/login
askcerto.com,none,,,https://demo.askcerto.com,https://demo.askcerto.com/
askclara.com,jwt,yes,gis_credential,https://app.askclara.com/login,https://app.askclara.com/login
astratarot.net,none,,,https://app.astratarot.net,https://app.astratarot.net/auth
baaniai.com,none,,ERR:dns,,
bebelong.life,none,,,https://bebelong.life/login,https://bebelong.life/login
behuman.health,jwt,yes,response_type=id_token,https://patient.behuman.health/login,https://patient.behuman.health/login
better-auth.com,none,,,https://dash.better-auth.com/sign-in,https://dash.better-auth.com/sign-in
billables.ai,none,,,http://accounts.billables.ai/sign-in,https://accounts.billables.ai/sign-in
