domain,flow,confirmed,evidence,login_url,final_url
afisha.ru,none,,,https://afisha.ru/login,https://www.afisha.ru/login
algorithm24.ru,none,,ERR:hang,,
algoritmika.org,none,,ERR:hang,,
apps.to,none,,ERR:unreachable,,
armgs.team,none,,,https://armgs.team/login,https://sreda.digital.gov.ru/login
ati.su,none,,,https://ati.su/login,https://ati.su/login/
av.ru,none,,,https://av.ru/signin,https://av.ru/signin
azbukavkusa.ru,none,,,https://azbukavkusa.ru/signin,https://azbukavkusa.ru/signin
bargipsy.com,none,,,https://bargipsy.com/login,https://bargipsy.com/login
centraluniversity.ru,none,,,https://centraluniversity.ru/login,https://cu.ru/login
championat.com,none,,,https://championat.com/login,https://www.championat.com/login/
code-class.ru,none,,,https://code-class.ru/login,https://code-class.ru/login
csirt.ru,none,,,https://csirt.ru/login,https://jetcsirt.su/
csirt.su,none,,,https://csirt.su/login,https://jetcsirt.su/
csm.ru,none,,ERR:unreachable,,
cu.ru,none,,,https://cu.ru/login,https://cu.ru/login
cups.online,none,,,https://cups.online/login,https://cups.online/ru/login/
cybercamp.su,none,,,https://cybercamp.su/login,https://cybercamp.su/login
dzen.ru,none,,,https://dzen.ru/login,https://passport.yandex.ru/pwl-yandex/auth/add?origin=dzen&retpath=https%3A%2F%2Foauth.yandex.ru%2Fauthorize%3Fclient_id%3D09327016a9ec4d5683c1a73b7c04875c%26response_type%3Dcode%26redirect_uri%3Dhttps%253A%252F%252Fdzen.ru%252Fapi%252Fauth%252Fweb%252Flogin-yandex-id%253Fretpath%253Dhttps%25253A%25252F%25252Fdzen.ru%25252Fuser&backpath=https%3A%2F%2Fdzen.ru%2F
dzeninfra.ru,none,,ERR:unreachable,,
ebs.ru,none,,,https://ebs.ru/login,https://ebs.ru/login
eda.ru,none,,,https://eda.ru/login,https://eda.rambler.ru/login
ferra.ru,none,,,https://ferra.ru/login,https://www.ferra.ru/login
gamescup.ru,none,,ERR:unreachable,,
gamesphere.ru,none,,,,
gazeta.ru,none,,,https://gazeta.ru/login,https://www.gazeta.ru/login
gov74.ru,none,,ERR:unreachable,,
hh.ru,none,,,https://hh.ru/login,https://hh.ru/login
highloadcup.ru,none,,ERR:unreachable,,
insideok.ru,none,,,https://insideok.ru/category/authors/,https://insideok.ru/category/authors/
ispring.ru,none,,,https://ispring.ru/login,https://id.ispring.ru/login?service=isa&redirect_url=https%3A%2F%2Fwww.ispring.ru%2Faccount%2Flogin-by-isid&lang=ru
it-elements.com,none,,,,
it-elements.ru,none,,,https://it-elements.ru/login,https://it-elements.ru/login
jetcsirt.ru,none,,ERR:unreachable,,
jetcsirt.su,none,,,https://jetcsirt.su/login,https://jetcsirt.su/login/
jetcybercamp.ru,none,,,https://jetcybercamp.ru/login,https://jetcybercamp.ru/login
jetinfo.com,none,,ERR:unreachable,,
jetinfo.ru,none,,ERR:hang,,
jetinfo.su,none,,ERR:hang,,
konsol.pro,none,,,https://app.konsol.pro/login,https://app.konsol.pro/login
konsol.team,none,,ERR:unreachable,,
kontur.bank,none,,ERR:unreachable,,
kontur.host,none,,ERR:unreachable,,
lenta.ru,none,,,,
letidor.ru,none,,,https://letidor.ru/login,https://letidor.ru/login
magnit.com,none,,,https://magnit.com/login,https://www.magnit.com/login
magnit.ru,none,,ERR:hang,,
mail.cloud,none,,ERR:unreachable,,
maxpatrol.com,none,,ERR:unreachable,,
maxpatrol.ru,none,,ERR:unreachable,,
mlbootcamp.ru,none,,ERR:unreachable,,
moslenta.ru,none,,,https://moslenta.ru/login,https://moslenta.ru/login
motor.ru,none,,,https://motor.ru/login,https://motor.ru/login
msk.cloud,none,,ERR:unreachable,,
my.com,none,,ERR:unreachable,,
mycdn.me,none,,,https://mycdn.me/login,https://st.okcdn.ru/login
myreviews.dev,none,,,https://myreviews.dev/login,https://myreviews.ru/login
o3.ru,none,,ERR:unreachable,,
o3t.ru,none,,ERR:unreachable,,
o3team.ru,none,,ERR:unreachable,,
odkl.ru,none,,ERR:unreachable,,
ok.me,none,,ERR:unreachable,,
ok.ru,none,,,https://ok.ru/login,https://ok.ru/login
okcdn.ru,none,,,https://okcdn.ru/login,https://st.okcdn.ru/login
