domain,flow,evidence
account.minimax.io,none,
app.taxdown.es,none,
app.kanpla.io,none,
app.minga.io,none,
app.life5.es,none,
app.gomining.com,none,
admin.heycharge.com,google_only,gsi_present
auth.kinderpedia.co,none,
app.ridgex.io,none,
app.rewind.com,none,
app.authzed.cloud,none,
app.thefabricant.com,none,
app.impt.io,google_only,gsi_present
auth.skuad.io,google_only,gsi_present
app.rabbithole.gg,none,
auth.pitch.com,none,
app.peaks.com,google_only,gsi_present
blendle.com,code,response_type=code
catapult.trade,none,
claude.ai,none,
badi.com,google_only,gsi_present
account.testinium.com,none,
deriv.com,jwt,gis_id:accounts.id.initialize
dash.fi,none,
app.cialfo.co,none,
dashboard.flinks.com,none,
console.archil.com,none,
bygoodiebox.com,google_only,gsi_present
campiri.com,google_only,gsi_present
ccpsx.com,google_only,gsi_present
drenting.com,none,
console.powens.com,none,
dexsport.io,none,
dashboard.augustus.com,google_only,gsi_present
hellopublic.com,unreachable,
cityvox.fr,jwt,gis_id:accounts.id.prompt
commercial.credplatform.com,none,
accedi.facile.it,none,
elkyc.com,none,
cohabs.com,google_only,gsi_present
etorox.com,jwt,gis_id:accounts.id.initialize
marble.worldlabs.ai,none,
etoro.com,jwt,gis_id:accounts.id.initialize
mufg.jp,unreachable,
flipboard.com,token,initTokenClient
loom.com,jwt,gis_id:accounts.id.initialize
mintlayer.org,google_only,gsi_present
my.checksig.ch,none,
designify.com,none,
in.talent.com,none,
next.getmejuice.com,google_only,gsi_present
formelskin.de,none,
on-running.com,code,initCodeClient
getheltia.com,none,
onboardledger.com,none,
piece.investments,google_only,gsi_present
norminvest.com,none,
plataforma.galena.com,none,
monta.com,none,
pixabay.com,none,
notion.com,google_only,gsi_present
seasonish.com,none,
login.sastrify.com,code,initCodeClient
mofibo.com,google_only,gsi_present
skipthedishes.com,none,
notion.so,google_only,gsi_present
quora.com,none,
rozetka.com.ua,none,
people.advanto.cz,google_only,gsi_present
openasapp.net,none,
profile.bluwhale.com,none,
taxfix.com,none,
shopcider.com,google_only,gsi_present
polymarket.com,google_only,gsi_present
studio.softr.io,google_only,gsi_present
treatwell.es,jwt,gis_id:accounts.id.initialize
qype.fr,jwt,gis_id:accounts.id.prompt
unscreen.com,none,
paulcamper.de,none,
uppersetup.com,google_only,gsi_present
wolt.com,google_only,gsi_present
morelogin.com,google_only,gsi_present
x.velvet.capital,none,
turkishairlines.com,unreachable,
